,road,id,model_type,name,lat,lon,length,condition,length_class
640,N1,LRP333a,bridge,HASIRUGIGI,21.7240739341074,92.083544148476,12.6,A,M
641,N1,LRP333ar,link,road320,21.71666265500435,92.08210960440874,1827.399999999975,-,-
642,N1,LRP335a,bridge,CHOHAJANYA (1),21.7092513759013,92.0806750603415,12.8,A,M
643,N1,LRP335ar,link,road321,21.706040706499,92.07966034275135,776.2000000000442,-,-
644,N1,LRP336a,bridge,CHOHAJANIYA (2),21.7028300370967,92.0786456251612,9.3,A,S
645,N1,LRP336ar,link,road322,21.68955466351235,92.07772654999064,3112.699999999957,-,-
646,N1,LRP339a,bridge,Polia Fari Bridge,21.676279289928,92.0768074748201,58.57,C,L
647,N1,LRP339ar,link,road323,21.6741921251058,92.07660336400579,414.4300000000132,-,-
648,N1,LRP339c,bridge,DULAHAJARA (SAFARI PARK),21.6721049602836,92.0763992531915,14.0,A,M
649,N1,LRP339cr,link,road324,21.66752270089895,92.07573544957225,952.0000000000082,-,-
650,N1,LRP340a,bridge,DULAHAJARA CULVERT,21.6629404415143,92.075071645953,3.5,A,S
651,N1,LRP340ar,link,road325,21.6614973716094,92.07508710621511,318.50000000000273,-,-
652,N1,LRP341a,bridge,Dulahajar Bridge,21.6600543017045,92.0751025664772,54.03,C,L
653,N1,LRP341ar,link,road326,21.6554551837636,92.07433224336515,1006.9699999999787,-,-
654,N1,LRP342a,bridge,BOYRAGIR KHIL,21.6508560658227,92.0735619202531,61.0,C,L
655,N1,LRP342ar,link,road327,21.649470413389402,92.0734455714811,258.0000000000168,-,-
656,N1,LRP342c,bridge,PAGOLARIBIL,21.6480847609561,92.0733292227091,4.5,A,S
657,N1,LRP342cr,link,road328,21.635309974483498,92.07351634977415,3176.499999999983,-,-
658,N1,LRP345a,bridge,KHUTAKHALI,21.6225351880109,92.0737034768392,1.45,B,S
659,N1,LRP345ar,link,road329,21.62045592420595,92.07143740721655,665.55000000003,-,-
660,N1,LRP346a,bridge,khutakhali bazar,21.618376660401,92.0691713375939,45.3,B,M
