,road,id,model_type,name,lat,lon,length,condition
720,N1,LRP369b,bridge,MARULA BOX CULVERT,21.4342084624161,92.0972607067114,2.5,A
721,N1,LRP369br,link,road362,21.4312800297996,92.09566606673594,349.49999999997544,-
722,N1,LRP369c,bridge,RAMU BRAC OFFICE,21.4308087593886,92.0961182921397,7.2,A
723,N1,LRP369cr,link,road363,21.4293523716943,92.09278455406985,402.800000000025,-
724,N1,LRP370a,bridge,RAMU BY PASS MORE,21.4288400316455,92.0953913860759,3.5,A
725,N1,LRP370ar,link,road364,21.4279732042285,92.08970860463215,228.4999999999709,-
726,N1,LRP370c,bridge,RAMU MOUR BOX CULVDERT,21.4283515971831,92.0940714267605,12.8,A
727,N1,LRP370cr,link,road365,21.42756315523215,92.0872570817396,161.200000000035,-
728,N1,LRP370e,bridge,ROMA CALLAGE BOX CULVERT,21.427895984,92.089450816,18.8,A
729,N1,LRP370er,link,road366,21.427183792,92.083113958,464.2000000000041,-
730,N1,LRP371a,bridge,ROMA TECHIPUL,21.4271063768115,92.0840258231884,8.2,A
731,N1,LRP371ar,link,road367,21.42723591330995,92.07745965201565,565.7999999999554,-
732,N1,LRP371c,bridge,SAMBAR PUL CULVERT,21.4267747132812,92.0804427367187,7.4,A
733,N1,LRP371cr,link,road368,21.42697535549555,92.0719429630158,372.6000000000523,-
734,N1,LRP372a,bridge,CHAKMARKOOL,21.4264716,92.0767771,12.4,A
735,N1,LRP372ar,link,road369,21.4268902678707,92.06892138346005,368.5999999999718,-
736,N1,LRP372c,bridge,CHAKMAR KOOL BOX CULVERT,21.4273654498084,92.0708934808429,9.4,A
737,N1,LRP372cr,link,road370,21.42760045101695,92.06443043344815,636.600000000015,-
738,N1,LRP373a,bridge,KHURUTIA BOX CULVERT,21.4271759977099,92.0634431893129,2.0,A
739,N1,LRP373ar,link,road371,21.4276028412919,92.05960011272364,866.9999999999714,-
740,N1,LRP373b,bridge,KHURULIA CULVERT,21.4273089357414,92.0610656669201,6.8,A
741,N1,LRP373br,link,road372,21.427683715284452,92.05714691923589,251.2000000000382,-
742,N1,LRP374a,bridge,KHURULIA SCHOOL BOX CULVERT,21.4278354522255,92.0579673860534,16.6,A
743,N1,LRP374ar,link,road373,21.42767997611275,92.053307801666,313.39999999998406,-
744,N1,LRP374c,bridge,KHURULIA SCHOOL BOX CULVERT,21.4280296848739,92.0557570361344,18.6,A
745,N1,LRP374cr,link,road374,21.428737447565148,92.05006887768255,215.39999999998045,-
746,N1,LRP374e,bridge,KHURULIA CHAIRMAN PARA BOX CULVERT,21.4280584948275,92.0532281715517,7.2,A
747,N1,LRP374er,link,road375,21.42892344741375,92.04641137057584,259.7999999999959,-
748,N1,LRP375a,bridge,SARKAR PARA BRIDGE,21.4275245,92.0486482172786,13.0,A
749,N1,LRP375ar,link,road376,21.4284639314917,92.0402684832249,459.00000000003683,-
750,N1,LRP375c,bridge,WEST DOVGE BOX CULVERT,21.4294452102564,92.0443807192307,10.9,A
751,N1,LRP375cr,link,road377,21.4298854968575,92.03700070886345,501.1000000000005,-
752,N1,LRP376a,bridge,MUKTAR KUL,21.4297884,92.0395945696,9.2,A
753,N1,LRP376ar,link,road378,21.42997116086955,92.03396903262605,490.8,-
754,N1,LRP377a,bridge,Bakkhali Bridge,21.4294033629834,92.0318887491712,136.3,C
755,N1,LRP377ar,link,road379,21.4279509920137,92.0278860784192,705.6999999999846,-
